nom,procuration,etat,date
paul le bihan,NA,présent,2021-07-05
eric robert,NA,présent,2021-07-05
françoise le men,NA,présent,2021-07-05
cédric seureau,NA,présent,2021-07-05
bernadette corvisier,NA,présent,2021-07-05
marc nedelec,NA,présent,2021-07-05
trefina kerrain,NA,présent,2021-07-05
patrice kervaon,NA,présent,2021-07-05
gwénaëlle lair,NA,présent,2021-07-05
michel diverchy,NA,présent,2021-07-05
hervé latimier,NA,présent,2021-07-05
pierre gouzi,NA,présent,2021-07-05
yvon briand,NA,présent,2021-07-05
marie christine barac'h,NA,présent,2021-07-05
sonya nicolas,NA,présent,2021-07-05
christian meheust,NA,présent,2021-07-05
marie-annick guillou,NA,présent,2021-07-05
françoise barbier,NA,présent,2021-07-05
anne-claire even,NA,présent,2021-07-05
christine tanguy,NA,présent,2021-07-05
myriam dubourg,NA,présent,2021-07-05
fabrice louedec,NA,présent,2021-07-05
nolwenn henry,NA,présent,2021-07-05
carine hue,NA,présent,2021-07-05
christophe kergoat,NA,présent,2021-07-05
gaël cornec,NA,présent,2021-07-05
louison noël,NA,présent,2021-07-05
danielle marec,NA,présent,2021-07-05
anne le guen,NA,présent,2021-07-05
yves nedellec,marie-annick guillou,procuration,2021-07-05
fabien canevet,patrice kervaon,procuration,2021-07-05
catherine bridet,danielle marec,procuration,2021-07-05
était absent,NA,absent,2021-07-05
jean-yves callac,NA,absent,2021-07-05
